product_id,program,product,plan,product_label,status,upsell_link,AMAUNT,create_date_unix,sales_volume,installments,units / package,type
291,Beyond,Beyond,Beyond Lite Monthly Membership,beyond lite monthly $19 2026,active,https://hadarshemesh.thrivecart.com/go-beyond-lite/,0.19,1770374069,8,,,one-payment
293,Beyond,Beyond,Beyond &ndash; Annual Membership,upgraded from $7/mo to BY annual $299 Mar26,active,https://hadarshemesh.thrivecart.com/beyond-annual-upgraded/,299,1772103136,9,,,subscription
223,chat,chat,ChatGPT English Practice Guide,ChatGPT English Practice Guide,active,https://hadarshemesh.thrivecart.com/chat/,21,1713799606,176,1,,one-payment
31,Coaching,Coaching,1:1 Pronunciation Sessions x 1 - $90 [id31],one coaching session for $90,active,https://hadarshemesh.thrivecart.com/coaching-session-2021/,90,1609932021,27,1,1,subscription
33,Coaching,Coaching,1:1 Pronunciation Sessions x 1 - $95 [id33],1:1 coach session for general $95,active,https://hadarshemesh.thrivecart.com/coaching-session/,95,1613577424,13,1,1,subscription
100,Coaching,Coaching,Fluency Session 1:1 - 5 Sessions - $250 [id100],Fluency Session 1:1 $250,active,https://hadarshemesh.thrivecart.com/fluency-session-11x5-250/,250,1643635423,12,1,1,subscription
130,Coaching,Coaching,1:1 Fluency Session x 1 - $50 [id130],1:1 Fluency session x1 $50,active,https://hadarshemesh.thrivecart.com/11-fluency-session-x1-50/,50,1660136399,2,1,1,subscription
142,Coaching,Coaching,1:1 Fluency Session x 1 - $55 [id142],1:1 Fluency session x1 $50,active,https://hadarshemesh.thrivecart.com/11-fluency-session-x1-55/,55,1661808010,2,1,1,one-payment
195,Coaching,Coaching,Fluency Session 1:1 - 5 Sessions,Fluency Session 1:1 $300,active,https://hadarshemesh.thrivecart.com/fluency-session-11x5-300/,300,1693401890,30,1,1,one-payment
196,Coaching,Coaching,1:1 Pronunciation Session x 1,1:1 coach session for general $115,active,https://hadarshemesh.thrivecart.com/11-pronunciation-1-session/,115,1693402115,10,1,1,one-payment
237,Coaching,Coaching,1:1 Pronunciation Session x 1 [id237],1:1 coach session for general,active,https://hadarshemesh.thrivecart.com/pronunciation-session/,104,1725357471,2,1,1,one-payment
34,Coaching,Coaching - packages,1:1 Pronunciation Sessions x 4 - $355 [id34],4 coaching sessions $355 (special request),active,https://hadarshemesh.thrivecart.com/coaching-sessions-4/,355,1613577748,2,,4,subscription
197,Coaching,Coaching - packages,1:1 Pronunciation Sessions x 5,Five 1:1 pronunciation sessions 520,active,https://hadarshemesh.thrivecart.com/11-pronunciation-5-sessionsx520/,520,1693402433,15,1,5,installments
59,Coaching,Coaching - packages,1:1 Pronunciation Sessions x 5 -$450 [id59],Five 1:1 pronunciation sessions 450,active,https://hadarshemesh.thrivecart.com/11-pronunciation-5-sessions/,,1623321685,43,,5,subscription
163,Coaching,Coaching - packages,1:1 Pronunciation Sessions x 5 -$450 [id163],Five 1:1 pronunciation sessions 450,active,https://hadarshemesh.thrivecart.com/11-pronunciation-5-sessions-90x5/,90,1672906353,2,5,5,installments
247,Coaching,Coaching - packages,Speaking with Feedback 1:1 - 5 sessions,Speaking with Feedback 1:1 - 5 sessions,active,https://hadarshemesh.thrivecart.com/swf11/,225,1732745654,7,,5,one-payment
267,Coaching,Coaching - packages,30 minute classes x 5,Five 30 minute classes $210,active,https://hadarshemesh.thrivecart.com/30-minute-classes-x-5-210/,210,1747720214,2,,5,one-payment
57,Coaching,Coaching - packages,1:1 Pronunciation Sessions x 10 - $850 [id57],10 sessions for $850,active,https://hadarshemesh.thrivecart.com/pronunciation-coaching-10s/,850,1622558905,5,,10,subscription
241,Coaching,Coaching - packages,1:1 Fluency Session x 10 - $550,1:1 Fluency session x10 $55,active,https://hadarshemesh.thrivecart.com/11-fluency-session-x10-55/,0,1727174837,2,1,10,one-payment
248,Coaching,Coaching - packages,1:1 Fluency Session x 10 Classes,1:1 Fluency session x10 $420,active,https://hadarshemesh.thrivecart.com/11-fluency-session-x10-420/,210,1733134634,8,,10,one-payment
